,model,K,fact,regul,iter,MRR,NDCG,MAP,sum_metr
0,bpr,,30,3.0,30,0.224656,3e-06,0.002223,0.226882
1,bpr,,30,2.0,30,0.208992,3e-06,0.001998,0.210993
2,bpr,,30,1.4,30,0.207914,2e-06,0.001871,0.209787
3,bpr,,30,5.0,30,0.182863,2e-06,0.001471,0.184336
4,tfidf,11,,,,0.16238360321796647,2.5455822622126053e-06,0.0014511719435616904,0.16383732074379037
5,tfidf,20,,,,0.16238360321796647,2.5455822622126053e-06,0.0014511719435616904,0.16383732074379037
6,als,,35,3.5,20,0.15208011980647906,1.979666315842978e-06,0.0013461367212424186,0.15342823619403734
7,cosine,11,,,,0.14038137207530618,2.317798902386262e-06,0.0012654888122804733,0.14164917868648905
8,cosine,20,,,,0.14038137207530618,2.317798902386262e-06,0.0012654888122804733,0.14164917868648905
9,als,,30,0.3,20,0.12700258217853203,1.796719203293858e-06,0.0013765374596566874,0.12838091635739202
10,als,,35,4.0,20,0.12535053254206008,1.9446428752620938e-06,0.0013284603876674908,0.12668093757260282
11,als,,20,0.1,20,0.11076168846186688,1.586627148421417e-06,0.0009348607781432693,0.11169813586715857
12,als,,35,3.5,35,0.09391179914140632,1.669912581209146e-06,0.0011939207299068093,0.09510738978389434
13,lmf,,40,0.6,25,0.08475749358327059,9.528559809009868e-07,0.0009027997175193745,0.08566124615677086
14,als,,35,4.0,35,0.08309942987645538,1.4706161944210925e-06,0.0011875194876528282,0.08428841998030263
15,lmf,,30,0.4,30,0.07570409793074644,9.482405902021696e-07,0.0006356543256910769,0.07634070049702771
16,lmf,,20,0.1,20,0.06885638193528075,8.536649803308999e-07,0.0006592614876487001,0.06951649708790977
17,lmf,,20,0.1,20,0.06885638193528075,8.536649803308999e-07,0.0006592614876487001,0.06951649708790977
